TeamName,TeamC,
GraphType,MultiGraph,
EdgeCount,3000,
Hardware,Windows 10 10.0 amd64,
MeasurementTool,Tool,

Run,Time(ms),Energy(J),
1,10,18:28:20.416 (0.498J),
2,9,18:28:20.426 (0.510J),
3,8,18:28:20.435 (0.443J),
4,6,18:28:20.444 (0.329J),
5,7,18:28:20.450 (0.445J),
6,7,18:28:20.457 (0.280J),
7,7,18:28:20.464 (0.379J),
8,9,18:28:20.471 (0.661J),
9,8,18:28:20.480 (0.491J),
10,5,18:28:20.488 (0.310J),
